name,name,image_url,cat_id,cat,rec
Factory Wontons : เกี๊ยวทอดแฟคทอรี่,90,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/factorywonton.jpg,1,Appetizer,1
Spicy Edamame : ถั่วแระญี่ปุ่นผัดซอส,75,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/edamame.jpg,1,Appetizer,0
Money Bags : ถุงทอง,95,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/goldenbag.jpg,1,Appetizer,0
Factory Spring Rolls : ปอเปี๊ยะทอด,85,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/friedspringrolls.jpg,1,Appetizer,0
Factory Fresh Rolls : ปอเปี๊ยะผักสด,70,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/freshspringrolls.jpg,1,Appetizer,0
New Orleans Chicken : ปีกไก่นิวออร์ลีน,90,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/chickenneworleans.jpg,1,Appetizer,1
Salted Crispy Mushroom : เห็ดคั่วเกลือ,90,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/friedmushroom.jpg,1,Appetizer,0
The Crazy Fries : เครซี่ฟรายส์,130,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/crazyfries.jpg,1,Appetizer,0
French Fries : เฟรนช์ฟรายส์,70,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/fries.jpg,1,Appetizer,0
Pork/Beef Jerky : หมู/เนื้อทอดแดดเดียว,100,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/porkjerky.jpg,1,Appetizer,0
Baked Mussels with Garlic Butter Cheese : หอยแมลงภู่นิวซีแลนด์อบชีส,130,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/nzcheese.jpg,1,Appetizer,0
Sautéed Iceberg/Cabbage : ผักกาดแก้ว/กะหลํ่าปลีผัดนํ้าปลา,80,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/sautediceberg.jpg,1,Appetizer,0
"""Tofu"" Pad Pik Kluae : เต้าหู้ผักพริกเกลือ",85,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/tofuprikkluea.jpg,1,Appetizer,0
Calamari : คาลามาริ,105,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/calamari.jpg,1,Appetizer,0
Shrimp Morning Salad Rolls : ปอเปี๊ยะกุ้งสดทานตะวัน,110,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/sunflowerspringrolls.jpg,1,Appetizer,1
New Zealand or Blue Mussels Steam with Thai Herb : หอยแมลงภู่นิวซีแลนด์หรือบลูมัซเซิ่ลอบสมุนไพร,155,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/nzherb.jpg,2,Tasty Starter,0
New Zealand or Blue Mussels Steam in White Wine Sauce : หอยแมลงภู่นิวซีแลนด์หรือบลูมัซเซิ่ลอบซอสไวน์ขาว,155,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/nzwhitewine.jpg,2,Tasty Starter,0
Smoked Salmon Carpaccio : แซลมอนคาร์ปาซิโอ,195,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/salmoncarpacio.jpg,2,Tasty Starter,0
Spicy Beef Carpaccio : เนื้อคาร์ปาซิโอ,195,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/beefcarpacio.jpg,2,Tasty Starter,0
Naked Salmon on the Leaves : พล่าแซลมอน,110,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/plasalmon.jpg,2,Tasty Starter,0
Leaf-Wrapped Spicy Mushrooms : เมี่ยงเห็ดเจ็ดอย่าง,90,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/miangmushroom7.jpg,2,Tasty Starter,0
Lettuce-Wrapped with Spicy Cripsy Salmon : ลาบแซลมอนทอด,110,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/larbfriedsalmon.jpg,2,Tasty Starter,0
Lettuce-Wrapped with Spicy Smoked Duck : ลาบอกเป็ดรมควัน,110,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/larbduck.jpg,2,Tasty Starter,0
Lettuce-Wrapped with Spicy Mushrooms : ลาบเห็ด,85,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/larbmushroom.jpg,2,Tasty Starter,0
Sweet Corn Cream Soup : ซุปข้าวโพด,75,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/cornsoup.jpg,3,Soup,0
Cream of Mushroom Soup : ซุปเห็ด,75,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/mushroomsoup.jpg,3,Soup,1
Onion Soup : ซุปหัวหอม,65,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/onionsoup.jpg,3,Soup,0
Spinach Cream Soup : ซุปผักโขม,75,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/spinachsoup.jpg,3,Soup,0
Tom Yum Kung : ต้มยำกุ้ง,75,test.jpg,3,Soup,0
Clam Chowder Soup : ซุปหอยลาย,75,test.jpg,3,Soup,1
Egg Tofu Soup : เต้าหู้นํ้าแดง,95,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/eggtofusoup.jpg,3,Soup,0
Grilled Salmon with Spicy Glass Noodle Salad : ยำวุ้นเส้นปลาแซลมอน,160,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/spicysalmonwoonsen.jpg,4,Spicy Salad,0
Naked Shrimps on the Beach : ยำกุ้งย่าง,150,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/spicysaladshrimp.jpg,4,Spicy Salad,0
Grilled Chicken Spicy Salad : ยำไก่ย่าง,125,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/spicysaladchicken.jpg,4,Spicy Salad,1
Spicy Fresh Salmon Salad : ยำแซลมอนแซ่บ,200,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/spicysaladsalmon.jpg,4,Spicy Salad,0
Fishermen Salad : ยำทะเล,155,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/spicysaladseafood.jpg,4,Spicy Salad,0
Spicy Tuna Salad : ยำทูน่า,145,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/spicysaladtuna.jpg,4,Spicy Salad,0
Spicy Beef Salad : ยำเนื้อย่าง,185,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/spicysaladbeef.jpg,4,Spicy Salad,0
Spicy Spring Rolls Salad : ยำปอเปี๊ยะสด,100,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/spicyspringrolls.jpg,4,Spicy Salad,0
Spicy Soft Shell Crab Salad : ยำผลไม้ปูนิ่มทอด,185,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/spicyfruitsaladpoonim.jpg,4,Spicy Salad,0
Crispy Fish with Spicy Mango Salad : ยำมะม่วงปลาทอด,130,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/spicymangofriedfish.jpg,4,Spicy Salad,0
Spicy Glass Noodles with Grilled Pork Salad : นํ้าตกวุ้นเส้น,110,test.jpg,4,Spicy Salad,0
Spicy Factory Pork Salad : ยำหมูทอด,125,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/spicyfriedpork.jpg,4,Spicy Salad,0
Spicy Grilled Pork Salad : ยำหมูย่าง,125,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/spicygrilledpork.jpg,4,Spicy Salad,0
Spicy Mushroom Salad : ยำเห็ด 7 อย่าง,95,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/spicymushroom7.jpg,4,Spicy Salad,1
Spicy Papaya Salad : ส้มตำ Factory,95,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/somtumfactory.jpg,4,Spicy Salad,0
"Som tum ""Pol la mai"" : ส้มตำผลไม้",90,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/somtumfruits.jpg,4,Spicy Salad,0
Create Your Own Salad : สลัดแบบที่คุณต้องการ,79,test.jpg,5,Main Salad,0
Honey Roasted Chicken Salad : สลัดไก่ย่างอบนํ้าผี้ง,125,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladchickenhoney.jpg,5,Main Salad,0
Japanese Style Grilled Chicken Breast Salad : สลัดอกไก่ย่างงาญี่ปุ่น,125,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladchickenjapan.jpg,5,Main Salad,0
Korean Beef Salad : สลัดดเนื้อย่างเกาหลี,140,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladkoreanbeef.jpg,5,Main Salad,0
Thai Herb Beef Salad : สลัดเนื้อย่างสมุนไพร,140,test.jpg,5,Main Salad,0
Japanese Style Crispy Pork Salad : สลัดหมูทอดงาญี่ปุ่น,125,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladfriedpork.jpg,5,Main Salad,0
Sausage Salad : สลัดไส้กรอก,115,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladsausage.jpg,5,Main Salad,0
The Healthy Salad : สลัดเพื่อสุขภาพ,110,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladhealthy.jpg,5,Main Salad,1
Japanese Style Grilled Pork Salad : สลัดอกหมูย่างงาญี่ปุ่น,125,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladgrilledpork.jpg,5,Main Salad,0
Grilled Pork with Thai Herb Salad : สลัดหมูย่างสมุนไพร,125,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladherbpork.jpg,5,Main Salad,0
Caesar Salad : ซีซ่าร์สลัด,145,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/caesarsalad.jpg,5,Main Salad,0
Deep Fried Shrimps or Fish Salad : สลัดกุ้งทอด หรือ ปลาทอด,160,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladfriedshrimp.jpg,5,Main Salad,1
Tuna Salad : สลัดทูน่า,150,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladtuna.jpg,5,Main Salad,0
Butter Garlic Shrimp Salad : สลัดกุ้งย่างเนยกระเทียม,170,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladshrimpgarlic.jpg,5,Main Salad,0
Fresh Salmon Salad : สลัดแซลมอนดิบ,200,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladrawsalmon.jpg,5,Main Salad,0
Grilled Salmon Salad : สลัดแซลมอนย่างเกลือ,220,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladsalmonsalt.jpg,5,Main Salad,0
Pan Fried Grouper Fillet Salad : สลัดปลาเก๋า,160,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladgrouper.jpg,5,Main Salad,0
Seafood Wasabi Salad : สลัดซีฟู้ดวาซาบิ,160,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladseafoodwasabi.jpg,5,Main Salad,0
Pan Fried Cod Fillet Salad : สลัดปลาคอด,230,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladcod.jpg,5,Main Salad,0
Deep Fried Shrimp with Fruit Salad : สลัดผลไม้กุ้งทอด,140,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladfruitfriedshrimp.jpg,5,Main Salad,0
Hawaiian Salad : สลัดฮาวายเอี้ยน,145,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladhawaiian.jpg,5,Main Salad,0
Pan Fried/Cheesy Dory Fish Salad : สลัดปลาดอรี่ย่างเกลือหรือทอดชีส,160,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/dorysteak.jpg,5,Main Salad,0
Salmon Skin Salad : สลัดหนังปลาแซลมอน,145,test.jpg,5,Main Salad,0
Greek Salad : กรีกสลัด,135,test.jpg,5,Main Salad,0
Donald Duck on the Rocket/Baby Spinach : ร็อกเก็ตหรือต้นอ่อนผักโขมอกเป็ดรมควัน,190,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/rocketduck.jpg,6,Rocket or Baby Spinach Salad,1
Grilled Beef on the Rocket/Baby Spinach : ร็อกเก็ตหรือต้นอ่อนผักโขมเนื้อย่าง,155,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladrocketbeef.jpg,6,Rocket or Baby Spinach Salad,0
Smoked Salmon with Rocket Salad/Baby Spinach : ร็อกเก็ตหรือต้นอ่อนผักโขมแซลมอนรมควัน,195,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/saladrocketsmokedsalmon.jpg,6,Rocket or Baby Spinach Salad,0
Soft Shell Crab with Rocket Salad/Baby Spinach : ร็อกเก็ตหรือต้นอ่อนผักโขมปูนิ่ม,185,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Salad+Factory/SFedited/rocketsscrab.jpg,6,Rocket or Baby Spinach Salad,0
