name,price,image_url,cat_id,cat,rec,restaurant_id
Deep Fried Pork with Pineapple : หมูเก็จแก้ว,150,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/kejkaew/friedpork.JPG,1,Appetizer,1,3
Cashew Nuts : เม็ดมะม่วงทอด ยำ,115,test.jpg,1,Appetizer,0,3
"Thai Fermented Pork with Peanut, Ginger and Shallot : แหนมมัด",115,test.jpg,1,Appetizer,0,3
Deep Fried Spare Ribs with Garlic and Pepper : ซี่โครงหมูทอดกระเทียม,150,test.jpg,1,Appetizer,0,3
Boiled Spare Ribs with Fermented Soybean Dip : ซี่โครงหมูจิ้มเต้าเจี้ยว,150,test.jpg,1,Appetizer,0,3
Deep Fried Chicken : ไก่บ้านชุบน้ำปลาทอด,150,test.jpg,1,Appetizer,0,3
Cashew Nuts and Dried Shrimp Dip : เม็ดมะม่วงทอดกับกุ้งเสียบ,150,test.jpg,1,Appetizer,0,3
Stir Fried Chicken with Cashew Nuts : ไก่ผัดเม็ดมะม่วง,195,test.jpg,1,Appetizer,0,3
Stir Fried Prawn with Cashew Nuts : กุ้งผัดเม็ดมะม่วง,225,test.jpg,1,Appetizer,0,3
Deep Fried Fish Cake : ทอดมันปลากราย,195,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/kejkaew/fishcake.JPG,1,Appetizer,1,3
Stir Fried Shrimp with Garlic and Pepper : กุ้งทอดกระเทียมพริกไทย,205,test.jpg,1,Appetizer,0,3
Deep Fried Shrimp : กุ้งชุบแป้งทอด,205,test.jpg,1,Appetizer,0,3
Spicy Coconut Shoots with Shrimp : ยำยอดมะพร้าวกุ้ง,180,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/kejkaew/coconutshootshrimp.JPG,2,Spicy Salad,1,3
Spicy Grilled Eggplants Salad : ยำมะเขือยาว,150,test.jpg,2,Spicy Salad,0,3
Spicy Vermicelli Salad : ยำวุ้นเส้น,180,test.jpg,2,Spicy Salad,0,3
Spicy Bitter Melon Salad : ยำมะระ,180,test.jpg,2,Spicy Salad,0,3
Spicy Winged Bean Salad : ยําถั่วพลู,180,test.jpg,2,Spicy Salad,0,3
Spicy Straw Mushroom Salad : ยำเห็ดฟางกุ้ง,180,test.jpg,2,Spicy Salad,0,3
Spicy Mixed Salad : ยำรวมมิตร,180,test.jpg,2,Spicy Salad,0,3
Spicy Seafood Salad : รวมมิตรทะเล,225,test.jpg,2,Spicy Salad,0,3
Crispy Fish Maw in Spicy Salad : ยำสามกรอบ,180,test.jpg,2,Spicy Salad,0,3
