name,price,image_url,cat_id,cat,rec,restaurant_id
Grilled Snakehead : ปลาช่อนแม่ลาเผา,350,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/1snakehead.jpg,1,แนะนำ,1,8
Red Curry with Little Snail and Coconut Milk : แกงคั่วหอยขม,160,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/1snakehead.jpg,1,แนะนำ,1,8
Wing Bean Shrimp Salad : ยำถั่วพูกุ้งสด,150,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/50shrimp.jpg,1,แนะนำ,1,8
Crab Stew : ปูหลน,140,,1,แนะนำ,1,8
Shrimp Paste Sauce with Crispy Fried Fish and Sweet Pork : น้ำพริกลงเรือ,140,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/45boat.jpg,1,แนะนำ,1,8
Tomyum Snakehead : ต้มยำ หัว พุง ไข่ ปลาช่อน,160,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/32snakehead.jpg,1,แนะนำ,1,8
Deep Fried Snakehead Fish Serve with Herb and Spicy Sauce : ปลาช่อนลุยสวน,370,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/10snakehead.jpg,1,แนะนำ,1,8
Spicy Curry Mekong Giant Catfish : ปลาบึกผัดเผ็ด,150,,1,แนะนำ,1,8
Fried Chilli with Kang Catfish : ปลาคังผัดฉ่า,150,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/19kang.jpg,1,แนะนำ,1,8
Roasted Lemongrass with Ruby Fish : ปลาทับทิมคั่วตะไคร้,350,,1,แนะนำ,1,8
Roasted Lemongrass with Moorhen : ไก่นาคั่วตะไคร้,140,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/3chicken.jpg,1,แนะนำ,1,8
Spicy Beef : กระทิงคลุกฝุ่น (เนื้อวัว),140,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/4beef.jpg,1,แนะนำ,1,8
Sun-Dried Snakehead : ปลาช่อนแดดเดียวจิ้มแจ่ว,150,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/43snakehead.jpg,1,แนะนำ,1,8
Fried Fermented Pork Rib Bone : แหนมซี่โครงหมูทอด,140,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/5ribs.jpg,1,แนะนำ,1,8
Fried Fish Paste Balls : ทอดมันปลากราย,150,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/39fish.jpg,1,แนะนำ,1,8
Fried Salty Beef in Green Curry : แกงเขียวหวานเนื้อเค็มทอด,160,,1,แนะนำ,1,8
Spicy Soup with Shrimp and Vegetable Omelet : แกงส้มชะอมชุบไข่ทอดกุ้งสด,160,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/6soup.jpg,1,แนะนำ,1,8
Stir Fried Local Fish in Red Curry and Coconut Milk : ฉู่ฉี่ปลาเนื้ออ่อน,160,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/16fish.jpg,1,แนะนำ,1,8
Stir-Fried Ginger with Crispy Snakehead and Salted Egg : ปลาช่อนฟูผัดพริกขิงไข่เค็ม,150,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/60snakehead.jpg,1,แนะนำ,1,8
Stir-Fried Squid with Salted Egg Yolk : ปลาหมึกผัดไข่เค็ม,170,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/28squid.jpg,1,แนะนำ,1,8
Stir-Fried Oyster with Beansprout : ออส่วนจานร้อน,170,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/31oyster.jpg,1,แนะนำ,1,8
Deep-Fried Tofu with Gravy Sauce : เต้าหู้ทรงเครื่อง,320,,1,แนะนำ,1,8
Deep-Fried Tofu with Gravy Sauce and Crab Meat : เต้าหู้ราดหน้าปู,160,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/7tofu.jpg,1,แนะนำ,1,8
Fried Chilli with Fish Sausage : ไส้กรอกปลาผัดฉ่า,140,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/9fish.jpg,1,แนะนำ,1,8
Boiled Fish Sausage : ไส้กรอกปลาลวกจิ้ม,120,,1,แนะนำ,1,8
Grilled Pork Neck with Chilli Sauce : คอหมูคำหวาน,140,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/8pork.jpg,1,แนะนำ,1,8
Grilled Snakehead : ปลาช่อนแม่ลาเผา,350,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/1snakehead.jpg,2,ปลาช่อน,0,8
Deep-Fried Snakehead Fish Serve with Herb and Spicy Sauce : ปลาช่อนลุยสวน,370,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/10snakehead.jpg,2,ปลาช่อน,0,8
Deep-Fried Snakehead Fish with Sweet and Sour Sauce : ปลาช่อนชนไก่,370,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/11snakehead.jpg,2,ปลาช่อน,0,8
Steamed Snakehead Fish with Jaew ปลาช่อนนึ่งแจ่ว,370,,2,ปลาช่อน,0,8
Steamed Snakehead Fish with Plum Soup : ปลาช่อนแป๊ะซ๊ะบ๊วย,370,,2,ปลาช่อน,0,8
Deep-Fried Snakehead Fish with Sour Soup : แกงส้มแป๊ะซ๊ะปลาช่อนทอด,370,,2,ปลาช่อน,0,8
Deep-Fried Marinated Seabass with Sweet Fish Sauce : ปลากะพงทอดน้ำปลา,350,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/12seabass.jpg,3,ปลากะพง,0,8
Steamed Sea Bass in Lime Sauce : ปลากะพงนึ่งมะนาว,350,,3,ปลากะพง,0,8
Deep-Fried Seabass in Chilli Sauce : ปลากะพงราดพริก,350,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/maela/13seabass.jpg,3,ปลากะพง,0,8
Steamed Seabass with Soy Sauce : ปลากะพงนึ่งซีอิ๊ว,350,,3,ปลากะพง,0,8
Deep-Fried Marinated Ruby Fish with Sweet Fish Sauce : ปลาทับทิมทอดน้ำปลา,330,,4,ปลาทับทิม,0,8
