name,price,image_url,cat_id,cat,rec,restaurant_id
Grilled Chicken (Whole) : ไก่ย่าง ทั้งตัว,210,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Nittaya/1+%E0%B9%84%E0%B8%81%E0%B9%88%E0%B8%A2%E0%B9%88%E0%B8%B2%E0%B8%87.JPG,1,"Grilled, Fried",1,10
Grilled Chicken (Half) : ไก่ย่าง ครึ่งตัว,105,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Nittaya/1+%E0%B9%84%E0%B8%81%E0%B9%88%E0%B8%A2%E0%B9%88%E0%B8%B2%E0%B8%87.JPG,1,"Grilled, Fried",1,10
Grilled Pork Neck : คอหมูย่าง,85,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Nittaya/2+%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%A2%E0%B9%88%E0%B8%B2%E0%B8%87.JPG,1,"Grilled, Fried",0,10
Northeastern Style Sausage : ไส้กรอกอิสาน,70,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Nittaya/7.%E0%B9%84%E0%B8%AA%E0%B9%89%E0%B8%81%E0%B8%A3%E0%B8%AD%E0%B8%81%E0%B8%AD%E0%B8%B5%E0%B8%AA%E0%B8%B2%E0%B8%99.JPG,1,"Grilled, Fried",0,10
Northern Style Sausage : ไส้อั่ว,80,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Nittaya/8.%E0%B9%84%E0%B8%AA%E0%B9%89%E0%B8%AD%E0%B8%B1%E0%B9%88%E0%B8%A7.JPG,1,"Grilled, Fried",0,10
Chiangmai Style Fried Pork : หมูทอดเชียงใหม่,85,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Nittaya/3+%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%97%E0%B8%AD%E0%B8%94%E0%B9%80%E0%B8%8A%E0%B8%B5%E0%B8%A2%E0%B8%87%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88.JPG,1,"Grilled, Fried",0,10
Fried Semi-Dried Pork : หมูแดดเดียว,90,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Nittaya/%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B9%81%E0%B8%94%E0%B8%94%E0%B9%80%E0%B8%94%E0%B8%B5%E0%B8%A2%E0%B8%A7.jpg,1,"Grilled, Fried",0,10
Fried Semi-Dried Beef : เนื้อแดดเดียว,120,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Nittaya/%E0%B9%80%E0%B8%99%E0%B8%B5%E0%B9%89%E0%B8%AD%E0%B9%81%E0%B8%94%E0%B8%94%E0%B9%80%E0%B8%94%E0%B8%B5%E0%B8%A2%E0%B8%A7.JPG,1,"Grilled, Fried",0,10
Fried Pickled Pork with Shredded Rice Grains : หมูข้าวเม่า,95,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Nittaya/7+%E0%B8%AB%E0%B8%A1%E0%B8%B9%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B9%80%E0%B8%A1%E0%B9%88%E0%B8%B2.JPG,1,"Grilled, Fried",1,10
Fried Duck Mouth : ปากเป็ดทอด,110,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Nittaya/8+%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B9%80%E0%B8%9B%E0%B9%87%E0%B8%94%E0%B8%97%E0%B8%AD%E0%B8%94.jpg,1,"Grilled, Fried",0,10
Fried Fish Sauce Marinated Chicken : ไก่แช่น้ำปลาทอด,100,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Nittaya/9+%E0%B9%84%E0%B8%81%E0%B9%88%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%8A%E0%B9%88%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%9B%E0%B8%A5%E0%B8%B2%E0%B8%97%E0%B8%AD%E0%B8%94.JPG,1,"Grilled, Fried",0,10
