name,price,image_url,cat_id,cat,rec,restaurant_id
Eel : ปลาไหล,59,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Pama/eelnigiri.jpg,1,Nigiri,1,7
Sake Salmon : ท้องแซลมอน,59,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Pama/sakesalmonnigiri.jpg,1,Nigiri,0,7
Hotate : หอยเชลล์,59,,1,Nigiri,0,7
Igura : ไข่ปลาแซลมอน,59,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Pama/iguranigiri.jpg,1,Nigiri,0,7
Hamachi : ฮามาจิ,49,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Pama/hamachinigiri.jpg,1,Nigiri,0,7
Tuna : ทูน่า,49,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Pama/tunanigiri.jpg,1,Nigiri,0,7
Salmon : แซลมอน,39,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Pama/salmonnigiri.jpg,1,Nigiri,0,7
Kani : ปูอัด,29,,1,Nigiri,0,7
Saba : ซาบะ,29,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Pama/sabanigiri.jpg,1,Nigiri,0,7
Tobiko : ไข่กุ้ง,29,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Pama/tobikonigiri.jpg,1,Nigiri,0,7
Hitachi Wakame : ยำสาหร่าย,29,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Pama/wakamenigiri.jpg,1,Nigiri,0,7
Tako : หมึกยักษ์,29,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Pama/takonigiri.jpg,1,Nigiri,0,7
Tamakoyaki : ไข่หวาน,20,,1,Nigiri,0,7
Fuagra : ฟัวกรา,149,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Pama/fuagra.JPG,1,Nigiri,0,7
Engawa : เอ็นกาวะ,99,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Pama/engawanigiri.JPG,1,Nigiri,0,7
