name,price,image_url,cat_id,cat,rec,restaurant_id
"Lime, Strawberry, Peach, Raspberry : 1) Frozen Margarita",799,,1,Margarita,1,11
On-the-Rocks : 2) Margarita,899,,1,Margarita,1,11
"2 eggs topped w/ salsa, served w/ Spanish rice, refried beans tortillas : 3) Huevos Rancheros",299,,2,Mexican Breakfast,0,11
"12-inch our tortilla filled w/ your choice of scrambled eggs & taco beef, chorizo, cheese and/or fried potatoes served w/salsa : 4) Breakfast Burrito",199,,2,Mexican Breakfast,0,11
"3-egg omelet filled w/ your choice of taco beef, chorizo or avocado & bell peppers, onion & cheese topped w/ salsa & sour cream : 5) Mexican Omelet",219,,2,Mexican Breakfast,0,11
"2 eggs (fried, poached or scrambled) & 2 buttered toast; 2 bacon, 1 ham or 1 sausage patty; hash browns or grits : 6) Basic Breakfast",249,,2,Mexican Breakfast,0,11
"w/ 2 eggs, 2 toast & hash browns or grits : 7) Country-Fried Chicken Steak Breakfast",319,,2,Mexican Breakfast,0,11
"w/ 2 eggs, 2 toast & hash browns or grits : 8) Country-Fried Beef Steak Breakfast",369,,2,Mexican Breakfast,0,11
"2 or 3 eggs w/ 2 or 3 grilled breakfast steaks , served w/ home fried potatoes, grilled tomatoes and toast : 9) Steak & Eggs",369,,2,Mexican Breakfast,0,11
 : ) ….BUILD-YOUR-OWN-BREAKFAST….,0,,2,Mexican Breakfast,0,11
 : 29) Fries,199,,3,Appetizers,0,11
 : 30) Wedge Fries,199,,3,Appetizers,0,11
 : 31) Curly Fries,199,,3,Appetizers,0,11
 : 32) Tater Tots,199,,3,Appetizers,0,11
10 pcs : 33) Munchers,199,,3,Appetizers,0,11
10 pcs : 40) Mozzarella Cheese Sticks,299,,3,Appetizers,0,11
10 pcs : 41) Chicken or Fish Strips,299,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Quepasa/41.jpg,3,Appetizers,1,11
32 pcs : 42) Chicken Wings,319,,3,Appetizers,0,11
20 pcs : 43) Bacon-Wrapped Shrimp,429,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Quepasa/43.jpg,3,Appetizers,1,11
Vegetarian : 44) Tortilla Soup,199,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Quepasa/44-45.jpg,4,Soups & Salads,1,11
Meat & veggies : 45) Tortilla Soup,229,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Quepasa/44-45.jpg,4,Soups & Salads,1,11
"Bacon, grilled shrimp or grilled chicken : 46) Caesar Salad",299,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Quepasa/46.jpg,4,Soups & Salads,1,11
"Green salad w/ smoked chicken, ham, bacon, cheese & sliced eggs : 47) Chef Salad",329,,4,Soups & Salads,0,11
"Cucumber, tomato, onion, olives & feta cheese : 48) Greek Salad",249,,4,Soups & Salads,0,11
"Lettuce, cucumber, tomato, red onion, olives, roasted red bell pepper & feta cheese : 49) Mediterranean Salad",279,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Quepasa/49.jpg,4,Soups & Salads,1,11
"Chilled pasta, 3 cheeses, meats & veggies : 50) Pasta Salad",299,,4,Soups & Salads,0,11
"Green salad topped w/ taco meat, salsa, cheese, sour cream, jalapeños & chips : 51) Taco Salad",279,,4,Soups & Salads,0,11
"Green salad topped w/ sliced fajita Chicken, Beef or Shrimp, onion, pepper, cheese, sour cream & chips : 52) Fajita Salad",279,,4,Soups & Salads,0,11
"Green papaya salad w/ salsa, cilantro, peanuts & a touch of sugar, garlic & chili : 53) Som Dhum Mexican Salad",109,,4,Soups & Salads,0,11
"Grilled & sautéed in salsa, peppers & onion : 57) Salsa Chicken or Fish",399,,5,Mexican Dinner Plates,0,11
"Grilled & sautéed in salsa, peppers & onion : 58) Salsa Beef, Shrimp or Seafood",429,,5,Mexican Dinner Plates,0,11
Grilled marinated chicken stir-fried w/ peppers & onion served w/ tortillas : 59) Fajita Chicken,469,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Quepasa/59.jpg,5,Mexican Dinner Plates,1,11
"Marinated, grilled & stir-fried w/ peppers & onion : 60) Fajita Beef, Shrimp or Seafood Plate",489,,5,Mexican Dinner Plates,0,11
"Chicken, shrimp or fish : 62) Enchilada Creamy",369,,5,Mexican Dinner Plates,0,11
Choice of Meat or cheese : 63) Enchilada Red Sauce,369,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Quepasa/63.jpg,5,Mexican Dinner Plates,1,11
Choice of Meat or cheese : 64) Enchilada Molé Sauce,399,,5,Mexican Dinner Plates,0,11
w/ onion : 65) Enchilada Veggie Avocado,369,,5,Mexican Dinner Plates,0,11
"Cheddar cheese, potato & spinach : 66) Enchilada Veggie Cheese",319,,5,Mexican Dinner Plates,0,11
"Beef, chicken, chorizo or fish : 67) Taco Plate",319,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Quepasa/67.jpg,5,Mexican Dinner Plates,1,11
Beef or chicken taquitos : 68) Taquitos Plate,319,,5,Mexican Dinner Plates,0,11
"Beef, chicken or chorizo : 69) Chimichanga",319,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Quepasa/69.jpg,5,Mexican Dinner Plates,1,11
Chips topped w/ cheese & jalapeños : 70) Nachos,219,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Quepasa/70.JPG,5,Mexican Dinner Plates,1,11
"Taco chips topped w/ taco beef or chicken or chorizo, beans, cheese, salsa, sour cream & jalapeños : 71) Nachos Supreme",369,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Quepasa/71.jpg,5,Mexican Dinner Plates,1,11
"Taco chips topped w/ cheese, salsa, guacamole, sour cream & jalapeños : 72) Nachos Veggie Supreme",299,,5,Mexican Dinner Plates,0,11
"Fried corn tortilla, w/ meat or krapao meat : 73) Taco",89,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Quepasa/73%EF%80%A276.jpg,6,Tacos,1,11
"Meat or avocado, w/ lettuce & cheese rolled in a 9” soft our tortilla : 74) Taco Soft",99,,6,Tacos,0,11
"Fried corn tortilla w/ meat or fish, wrapped in a bean-covered flour tortilla : 75) Taco Grande",119,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Quepasa/75-78.jpg,6,Tacos,1,11
"Fried corn tortilla w/ avocado, lettuce, cheese & salsa : 76) Taco Veggie",99,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Quepasa/73%EF%80%A276.jpg,6,Tacos,1,11
"Avocado, lettuce, cheese & salsa, wrapped in a flour tortilla : 77) Taco Veggie Soft",119,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Quepasa/75-78.jpg,6,Tacos,1,11
"Fried corn tortilla w/ avocado, lettuce, cheese & salsa, wrapped w/ a bean-covered flour tortilla : 78) Taco Veggie Grande",129,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Quepasa/75-78.jpg,6,Tacos,1,11
3 beef or chicken taquitos : 79) Taquitos,159,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Quepasa/79.jpg,6,Tacos,1,11
 : 80) Quesadilla – Cheese,99,,7,Quesadillas,0,11
"Meat w/ cheese, salsa, sour cream : 81) Quesadilla",159,,7,Quesadillas,0,11
"Meat w/ avocado, cheese & salsa : 82) Quesadilla Grande",169,,7,Quesadillas,0,11
"Avocado, spinach, cheese, sour cream & salsa : 83) Quesadilla Veggie",169,,7,Quesadillas,0,11
"Meat, refried beans & cheese : 84) Burrito",129,,8,Burritos & Chili Bowls,0,11
Meat & cheese (no beans) : 85) Burrito,149,,8,Burritos & Chili Bowls,0,11
"Meat & cheese (no beans inside) topped w/ chili beans, cheese, shredded lettuce & salsa : 86) Burrito Grande",219,https://s3-ap-southeast-1.amazonaws.com/befed-alpha/Quepasa/86.jpg,8,Burritos & Chili Bowls,1,11
"Meat, refried beans, rice, lettuce, salsa, cheese & sour cream : 87) Burrito Supreme",199,,8,Burritos & Chili Bowls,0,11
Refried beans & cheese : 88) Burrito Veggie,119,,8,Burritos & Chili Bowls,0,11
"Avocado, refried beans, rice, lettuce, salsa, cheese & sour cream : 89) Burrito Veggie Supreme",199,,8,Burritos & Chili Bowls,0,11
"w/ peppers, onion & cheese : 90) Burrito Fajita Chicken, Beef, or Shrimp",229,,8,Burritos & Chili Bowls,0,11
"Fried w/ meat, cheese, sour cream & salsa : 91) Chimichanga",229,,8,Burritos & Chili Bowls,0,11
