name,price,image_url,cat_id,cat,rec,restaurant_id
Steak Lao : เสต๊กลาว,159,,1,Our Signature,,2
Tenderloin Steak : เสต๊กสันใน,320,,2,Western,,2
Pork Chop Steak : เสต๊กพอร์คชอป,195,,2,Western,,2
Salmon Steak : เสต๊กแซลมอน,275,,2,Western,,2
Grilled Seabass Salsa Verde Sauce : ปลากะพงย่างซ้อสซัลซ่าเวร์เด,275,,2,Western,,2
Mix Grilled Sausages : ไส้กรอกรวมย่าง,275,,2,Western,,2
Pad Thai : ผัดไทยกุ้งสดห่อไข่,139,,3,Thai Food,,2
Steam Rice with Stir-Fried Chicken and Cashew Nut : ข้าวราดไก่ผัดเม็ดมะม่วงหิมพานต์,139,,3,Thai Food,,2
Shrimp Paste Fried Rice : ข้าวคลุกกะปิทรงเครื่อง,145,,3,Thai Food,,2
Steam Rice with Stir-Fried Seafood Curry : ข้าวราดทะเลผัดผงกะหรี่,165,,3,Thai Food,,2
Steam Rice with Stir-Fried Seafood Basil Leaf: ข้าวราดผัดกะเพราทะเลไข่ดาว,165,,3,Thai Food,,2
"Steam Rice with Mix Stir-Fried Mushroom, Basil Leaf and Egg Tofu : ข้าวราดกะเพราเห็ดรวมเต้าหู้ใข่",135,,3,Thai Food,,2
Vegetarian Fried Rice : ข้าวผัดมังสวิรัติ,120,,3,Thai Food,,2
